element,sp_num,nm
Al,2,527.768
Al,2,527.862
Al,2,528.0214
Al,2,528.3735
Al,2,528.5842
Al,2,531.076
Al,2,531.232
Al,2,531.6075
Al,2,532.461
Al,2,537.184
Al,2,537.184
Al,2,538.848
Al,1,555.7063
Al,1,555.7948
Al,2,559.3302
Al,2,561.3291
Al,3,569.6603
Al,3,572.2728
Al,2,585.362
Al,2,586.153
Al,2,586.781
Al,2,597.198
Al,2,599.97
Al,2,599.975
Al,2,599.983
Al,2,600.118
Al,2,600.176
Al,2,600.188
Al,2,600.641
Al,3,605.521
Al,3,605.984
Al,2,606.1124
Al,2,606.632
Al,2,606.637
Al,2,606.644
Al,2,606.843
Al,2,606.847
Al,2,606.853
Al,2,607.3198
Al,2,618.157
Al,2,618.163
Al,2,618.168
Al,2,622.618
Al,2,623.1745
Al,2,624.336
Al,3,630.185
Al,3,630.185
Al,2,633.5701
Al,2,649.545
Al,3,654.312
Al,3,654.312
Al,3,654.312
Al,3,655.618
Al,3,655.618
Al,3,655.618
Al,2,660.964
Al,1,669.6015
Al,2,669.639
Al,1,669.8673
Al,2,669.946
Al,1,678.52
Al,2,681.669
Al,2,682.348
Al,2,683.714
Al,1,690.64
Al,2,691.793
Al,2,691.996
Al,2,704.206
Al,2,705.66
Al,2,706.364
Al,1,708.3968
Al,1,708.4644
Al,1,736.1568
Al,1,736.2297
Al,2,744.942
Al,2,747.141
Al,1,755.4162
Al,1,756.3214
Al,1,760.6159
Al,1,761.482
Al,1,761.5339
Al,2,762.448
Al,2,762.785
Al,2,763.533
Al,3,763.537
Al,3,763.537
Al,3,766.0259
Al,3,768.1971
Al,2,781.231
Al,2,781.583
Al,2,782.372
Al,1,783.5309
Al,1,783.6134
Al,1,783.6134
Al,3,788.179
Al,3,788.2516
Al,3,790.5513
Al,3,792.166
Al,3,792.166
Al,1,799.3048
Al,1,800.3186
Al,1,806.5968
Al,1,807.5353
Al,1,807.6289
Al,2,808.691
Al,2,811.972
Al,2,812.189
Al,2,812.203
Al,2,812.208
Al,2,812.352
Al,2,812.352
Al,2,812.352
Al,3,824.359
Al,3,824.359
Al,3,827.511
Al,3,827.511
Am,2,392.625
Am,2,395.258
Am,1,402.025
Am,1,403.581
Am,2,403.637
Am,2,408.929
Am,2,408.932
Am,1,414.096
Am,2,418.812
Am,1,426.555
Am,1,428.926
Am,2,430.965
Am,2,432.457
Am,2,444.136
Am,2,450.945
Am,2,457.559
Am,2,459.331
Am,1,464.912
Am,1,465.345
Am,1,466.279
Am,1,468.165
Am,2,469.97
Am,1,470.68
Am,2,487.222
Am,1,499.079
Am,1,500.021
Am,2,502.096
Am,2,521.599
Am,1,540.262
Am,1,542.47
Am,2,558.421
Am,1,559.813
Am,1,605.464
Am,1,640.511
Am,1,654.416
Am,1,695.558
Ar,2,390.06251
Ar,2,390.695
Ar,3,390.784
Ar,2,391.15759
Ar,2,391.47674
Ar,2,391.5516
Ar,2,391.77669
Ar,2,392.2359
Ar,2,392.2528
Ar,2,392.3556
Ar,2,392.57186
Ar,2,392.60451
Ar,2,392.86227
Ar,2,393.12353
Ar,2,393.25463
Ar,2,393.317
Ar,2,393.5275
Ar,2,393.8843
Ar,2,394.42712
Ar,2,394.60969
Ar,1,394.7505
Ar,1,394.8979
Ar,2,395.2728
Ar,2,395.8379
Ar,3,396.04872
Ar,2,396.83589
Ar,2,397.44764
Ar,2,397.47582
Ar,2,397.93554
Ar,2,398.042
Ar,2,398.81573
Ar,2,399.20531
Ar,2,399.47916
Ar,3,399.559
Ar,2,399.92518
Ar,2,400.11378
Ar,2,400.5362
Ar,2,400.7632
Ar,2,401.12084
Ar,2,401.38561
Ar,2,401.98434
Ar,3,402.35864
Ar,2,403.13769
Ar,2,403.3809
Ar,2,403.4783
Ar,2,403.54595
Ar,2,403.88039
Ar,2,404.219
Ar,2,404.28934
Ar,1,404.4418
Ar,2,404.56769
Ar,2,404.74803
Ar,2,405.1122
Ar,2,405.29206
Ar,2,405.354
Ar,2,405.7672
Ar,3,405.989
Ar,2,406.51114
Ar,2,407.07837
Ar,2,407.20043
Ar,2,407.23843
Ar,2,407.66282
Ar,2,407.69432
Ar,2,407.95734
Ar,2,408.06359
Ar,2,408.07022
Ar,2,408.23868
Ar,2,408.3466
Ar,3,408.88914
Ar,2,409.71351
Ar,2,409.72033
Ar,3,409.819
Ar,2,409.94554
Ar,2,410.38323
Ar,2,410.39118
Ar,2,411.28151
Ar,2,411.4487
Ar,2,411.63756
Ar,2,412.4058
Ar,3,412.719
Ar,2,412.86399
Ar,2,412.9682
Ar,2,413.17232
Ar,2,414.4245
Ar,3,414.66
Ar,2,414.7377
Ar,3,414.903
Ar,2,415.2909
Ar,2,415.60854
Ar,1,415.859
Ar,2,416.251
Ar,1,416.418
Ar,2,416.89696
Ar,3,417.369
Ar,2,417.8365
Ar,2,417.92972
Ar,1,418.1884
Ar,3,418.29667
Ar,2,418.35909
Ar,2,418.96507
Ar,1,419.0713
Ar,1,419.1029
Ar,1,419.8317
Ar,3,419.883
Ar,3,419.883
Ar,2,419.98887
Ar,1,420.0674
Ar,2,420.15556
Ar,2,420.19713
Ar,2,420.34105
Ar,2,420.9944
Ar,2,421.095
Ar,2,421.4854
Ar,2,421.74306
Ar,2,421.86648
Ar,2,422.26369
Ar,2,422.66091
Ar,2,422.69874
Ar,2,422.81577
Ar,2,422.98688
Ar,2,423.72195
Ar,2,424.364
Ar,1,425.1185
Ar,2,425.56027
Ar,2,425.6663
Ar,1,425.9362
Ar,1,426.6286
Ar,2,426.65265
Ar,2,426.749
Ar,2,426.773
Ar,1,427.2169
Ar,2,427.51592
Ar,2,427.75279
Ar,2,428.28971
Ar,2,428.63567
Ar,8,429.76
Ar,2,429.79632
Ar,1,430.0101
Ar,2,430.0449
Ar,2,430.06493
Ar,2,430.90931
Ar,2,430.92385
Ar,2,432.73364
Ar,2,432.94385
Ar,2,433.11992
Ar,2,433.20295
Ar,1,433.3561
Ar,1,433.5338
Ar,2,433.70705
Ar,2,433.82312
Ar,1,434.5168
Ar,2,434.58968
Ar,2,434.80635
Ar,2,435.22047
Ar,2,435.84915
Ar,2,436.2066
Ar,2,436.78314
Ar,2,437.07529
Ar,2,437.13285
Ar,2,437.24888
Ar,2,437.48574
Ar,2,437.5954
Ar,2,437.92128
Ar,2,437.96665
Ar,2,437.98805
Ar,2,438.293
Ar,2,438.37545
Ar,2,438.50565
Ar,2,438.69656
Ar,2,439.4622
Ar,2,439.7798
Ar,2,440.00964
Ar,2,440.0986
Ar,2,440.1744
Ar,2,440.49019
Ar,2,440.64696
Ar,2,440.9
Ar,2,441.29035
Ar,2,442.09118
Ar,2,442.60008
Ar,2,443.01885
Ar,2,443.09959
Ar,2,443.38377
Ar,2,443.81173
Ar,2,443.8808
Ar,2,443.94611
Ar,2,443.98786
Ar,2,444.01213
Ar,2,444.5846
Ar,2,444.84587
Ar,2,444.88791
Ar,3,444.9201
Ar,2,444.9521
Ar,2,445.655
Ar,2,445.8885
Ar,2,446.05558
Ar,2,447.47591
Ar,2,448.18104
Ar,2,449.09813
Ar,2,449.85374
Ar,2,450.29265
Ar,2,450.308
Ar,8,450.47
Ar,2,450.9957
Ar,1,451.0733
Ar,2,451.6095
Ar,2,451.75363
Ar,1,452.2323
Ar,2,453.05522
Ar,2,453.54905
Ar,2,453.76409
Ar,2,453.87102
Ar,2,454.38702
Ar,2,454.50516
Ar,2,454.77582
Ar,3,454.8565
Ar,2,456.10124
Ar,2,456.37423
Ar,2,456.44055
Ar,3,456.521
Ar,2,457.2894
Ar,2,457.93493
Ar,2,458.7895
Ar,2,458.98976
Ar,2,459.34476
Ar,1,459.6097
Ar,2,459.87625
Ar,2,460.002
Ar,2,460.95669
Ar,2,461.12432
Ar,2,461.41
Ar,1,462.8441
Ar,8,463.08
Ar,2,463.72324
Ar,8,464.8
Ar,8,464.8
Ar,2,465.79009
Ar,2,466.626
Ar,2,468.14971
Ar,2,468.22759
Ar,3,468.7618
Ar,1,470.2316
Ar,2,470.33576
Ar,2,471.0823
Ar,2,472.15913
Ar,2,472.68681
Ar,2,473.0672
Ar,3,473.1386
Ar,2,473.2053
Ar,2,473.59055
Ar,2,474.319
Ar,2,475.72197
Ar,2,476.48644
Ar,3,477.2166
Ar,2,478.615
Ar,2,479.20818
Ar,2,479.259
Ar,2,479.371
Ar,3,480.1368
Ar,2,480.60202
Ar,2,484.12
Ar,2,484.78095
Ar,3,484.7846
Ar,2,484.79991
Ar,2,485.6156
Ar,2,486.59109
Ar,2,486.75554
Ar,2,487.712
Ar,2,487.98634
Ar,2,488.22424
Ar,2,488.82605
Ar,2,488.90419
Ar,3,489.1984
Ar,2,490.47514
Ar,2,491.43151
Ar,2,493.32089
Ar,2,493.6083
Ar,2,494.2921
Ar,2,494.93999
Ar,2,495.2924
Ar,2,495.51096
Ar,2,495.9478
Ar,2,496.50794
Ar,2,497.21599
Ar,2,498.0025
Ar,2,499.072
Ar,3,499.2617
Ar,2,499.345
Ar,2,499.3746
Ar,2,499.6782
Ar,2,500.93342
Ar,2,501.492
Ar,2,501.71626
Ar,2,501.76337
Ar,2,502.4778
Ar,2,503.07
Ar,2,503.44
Ar,2,503.777
Ar,2,504.2416
Ar,2,504.511
Ar,2,506.2037
Ar,2,508.764
Ar,2,509.04948
Ar,2,509.2174
Ar,2,509.5845
Ar,2,509.6851
Ar,2,510.045
Ar,2,512.14804
Ar,2,512.259
Ar,2,512.259
Ar,2,512.2972
Ar,2,512.57663
Ar,2,512.9083
Ar,2,513.1106
Ar,2,513.2145
Ar,2,514.17826
Ar,2,514.5308
Ar,1,515.1391
Ar,2,515.28606
Ar,2,515.9505
Ar,2,516.081
Ar,1,516.2285
Ar,2,516.27467
Ar,2,516.57727
Ar,2,517.5426
Ar,2,517.6229
Ar,2,517.924
Ar,2,518.309
Ar,1,518.7746
Ar,2,519.13656
Ar,2,520.2193
Ar,2,520.44432
Ar,2,521.511
Ar,2,521.6814
Ar,2,521.9589
Ar,1,522.1271
Ar,2,522.1864
Ar,2,523.05008
Ar,2,523.075
Ar,2,523.603
Ar,2,523.6231
Ar,2,523.6853
Ar,2,523.792
Ar,2,524.1786
Ar,2,524.509
Ar,2,524.53778
Ar,2,524.7469
Ar,2,524.7986
Ar,2,524.95457
Ar,2,525.057
Ar,2,525.11051
Ar,2,525.14029
Ar,2,525.2138
Ar,2,525.539
Ar,2,525.5677
Ar,2,525.5677
Ar,2,525.5677
Ar,2,525.65648
Ar,2,525.8223
Ar,2,525.9174
Ar,2,526.18987
Ar,2,526.4305
Ar,2,526.47819
Ar,2,526.71634
Ar,2,526.7958
Ar,2,526.8246
Ar,2,526.9761
Ar,2,527.358
Ar,2,527.385
Ar,2,528.16295
Ar,2,528.3437
Ar,2,528.5438
Ar,2,528.68866
Ar,2,528.8634
Ar,2,529.00551
Ar,2,529.099
Ar,2,529.197
Ar,2,529.38157
Ar,2,529.5892
Ar,2,529.63883
Ar,2,529.6791
Ar,2,529.8001
Ar,2,529.90805
Ar,2,529.948
Ar,2,530.07745
Ar,2,530.256
Ar,2,530.56856
Ar,2,530.56856
Ar,2,530.8074
Ar,2,531.19816
Ar,2,531.2078
Ar,2,531.4258
Ar,2,531.5215
Ar,2,531.611
Ar,2,531.611
Ar,8,532.69
Ar,2,532.8758
Ar,2,532.96992
Ar,2,533.0664
Ar,2,533.1042
Ar,2,533.27
Ar,2,533.512
Ar,2,533.5916
Ar,2,533.725
Ar,2,533.8106
Ar,2,533.933
Ar,8,534.2
Ar,2,534.326
Ar,2,534.45228
Ar,2,534.5609
Ar,2,534.82636
Ar,2,534.8604
Ar,2,534.9717
Ar,2,535.1449
Ar,2,535.482
Ar,2,535.781
Ar,2,535.781
Ar,2,535.781
Ar,2,535.83797
Ar,2,535.8616
Ar,2,535.90657
Ar,2,536.4142
Ar,2,536.5485
Ar,2,537.2007
Ar,2,537.233
Ar,2,537.66347
Ar,2,537.8077
