Wall time,Step,Value
1722754146.960538,0,7.040777683258057
1722754158.858083,1,5.705631732940674
1722754170.715864,2,5.552108287811279
1722754182.56198,3,5.377663612365723
1722754194.350631,4,5.1840362548828125
1722754206.078414,5,4.979025840759277
1722754217.823346,6,4.7690887451171875
1722754229.599874,7,4.572731971740723
1722754241.358868,8,4.373945713043213
1722754253.160464,9,4.171237945556641
1722754264.939404,10,3.9723145961761475
1722754276.699798,11,3.7844767570495605
1722754288.454506,12,3.6055073738098145
1722754300.220807,13,3.454667806625366
1722754311.993712,14,3.3267877101898193
1722754323.753391,15,3.2295010089874268
1722754335.488061,16,3.133052349090576
1722754347.178548,17,3.039245843887329
1722754358.937702,18,2.956456184387207
1722754370.759968,19,2.8997139930725098
1722754382.542665,20,2.785672187805176
1722754394.274967,21,2.7445104122161865
1722754405.947289,22,2.728588819503784
1722754417.681104,23,2.718656539916992
1722754429.400462,24,2.7120795249938965
1722754441.127824,25,2.7115752696990967
1722754452.812493,26,2.7110347747802734
1722754464.574169,27,2.710632085800171
1722754476.351425,28,2.7106082439422607
1722754488.115502,29,2.7105841636657715
1722754499.91203,30,2.7105610370635986
1722754511.737772,31,2.7105422019958496
1722754523.548118,32,2.7105228900909424
1722754535.332862,33,2.7105038166046143
1722754547.137336,34,2.710484743118286
1722754559.012283,35,2.710465908050537
1722754570.818024,36,2.710447072982788
1722754582.65187,37,2.7104275226593018
1722754594.45023,38,2.7104082107543945
1722754606.161483,39,2.7103893756866455
1722754617.988192,40,2.710369825363159
1722754629.769218,41,2.710350751876831
1722754641.587224,42,2.710331439971924
1722754653.411279,43,2.7103123664855957
1722754665.203886,44,2.7102928161621094
1722754676.982086,45,2.7102737426757812
1722754688.813728,46,2.710254430770874
1722754700.57739,47,2.710235118865967
1722754712.417078,48,2.7102158069610596
1722754724.231734,49,2.7101964950561523
1722754736.022333,50,2.7101776599884033
1722754747.862961,51,2.710158109664917
1722754759.643908,52,2.710139036178589
1722754771.388346,53,2.7101199626922607
1722754783.204382,54,2.7101006507873535
1722754794.999995,55,2.7100813388824463
1722754806.817804,56,2.710062026977539
1722754818.609427,57,2.710042953491211
1722754830.365013,58,2.7100236415863037
1722754842.205186,59,2.7100048065185547
1722754854.000458,60,2.7099854946136475
1722754865.792209,61,2.7099661827087402
1722754877.630087,62,2.709947109222412
1722754889.4239,63,2.709928035736084
1722754901.118135,64,2.7099087238311768
1722754912.887227,65,2.7098896503448486
1722754924.702472,66,2.7098705768585205
1722754936.505625,67,2.7098515033721924
1722754948.319523,68,2.7098324298858643
1722754960.110537,69,2.709813356399536
1722754971.879254,70,2.709794282913208
1722754983.68523,71,2.709775447845459
1722754995.46263,72,2.7097561359405518
1722755007.18468,73,2.7097373008728027
1722755018.970721,74,2.7097179889678955
1722755030.814512,75,2.7096993923187256
1722755042.563796,76,2.7096800804138184
1722755054.424079,77,2.7096612453460693
1722755066.207664,78,2.709641933441162
1722755077.956408,79,2.709622859954834
1722755089.769459,80,2.709604263305664
1722755101.597685,81,2.709585189819336
1722755113.378072,82,2.709566354751587
1722755125.187792,83,2.709547519683838
1722755136.9526,84,2.7095282077789307
1722755148.719774,85,2.7095093727111816
1722755160.494337,86,2.7094905376434326
1722755172.320989,87,2.7094719409942627
1722755184.123716,88,2.7094528675079346
1722755196.007598,89,2.7094335556030273
1722755207.809652,90,2.7094147205352783
1722755219.633879,91,2.7093958854675293
1722755231.377843,92,2.7093775272369385
1722755243.091224,93,2.7093586921691895
1722755254.944628,94,2.7093393802642822
1722755266.723627,95,2.7093207836151123
1722755278.540485,96,2.7093021869659424
1722755290.339532,97,2.7092831134796143
1722755302.120399,98,2.7092645168304443
1722755313.882577,99,2.7092456817626953
